V,I
0.794736842105263,0.100714226832212
0.801315789473684,0.111254856046786
0.806578947368421,0.127592753673488
0.811842105263158,0.140954169875303
0.815789473684211,0.153792529035987
0.821052631578947,0.174190273413945
0.831578947368421,0.202234035463103
0.835526315789474,0.231945017155189
0.844736842105263,0.279572387604985
0.856578947368421,0.328639098027686
0.86578947368421,0.416391587610361
0.877631578947368,0.514517783288233
0.89078947368421,0.64371471984121
0.903947368421053,0.805353389132749
0.915789473684211,0.934960090466492
0.923684210526316,1.04572100942864
0.938157894736842,1.19882699609609
0.944736842105263,1.3078751709485
0.955263157894737,1.46265373975617
0.96578947368421,1.59543829628881
0.972368421052632,1.71898236498096
0.982894736842105,1.87503728407582
0.989473684210526,2.02023232895035
1.00526315789474,2.31589162708371
1.02105263157895,2.72189828991139
